path	classification	rationale
frontend/.dockerignore	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/Dockerfile	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/dist/assets/index-BMcgZaKx.css	DEFER	TRACKED_GENERATED_OUTPUT
frontend/dist/assets/index-B_O_iL1c.js	DEFER	TRACKED_GENERATED_OUTPUT
frontend/dist/index.html	DEFER	TRACKED_GENERATED_OUTPUT
frontend/eslint.config.js	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/index.html	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/package-lock.json	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/package.json	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/postcss.config.js	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/scripts/frontend-architecture-guard.mjs	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/scripts/frontend-architecture-guard.test.mjs	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/scripts/react-first-guard.sh	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/scripts/validate-h4-disposition-ledger.mjs	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/scripts/verify-h4-clean-forward.mjs	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/scripts/verify-h4-route-reachability.mjs	REUSE	VIABLE_BUILD_TEST_GOVERNANCE_FOUNDATION
frontend/src/api/admin/analytics.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/audit.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/billing-admin.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/config.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/delivery.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/entitlement-admin.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/extension.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/feature-flags.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/identity.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/notification.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/policy-admin.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/quota-billing.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/render.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/admin/shared-resources-admin.ts	MIGRATE	ADMIN_CLIENT_SCOPE_AND_TYPED_CONTRACT
frontend/src/api/ai-timeline.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/analytics.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/app/artifacts.client.ts	DEFER	MISSING_CANONICAL_APPLICATION_PROJECTION
frontend/src/api/app/index.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/app/products.client.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/cache-boundaries.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/commerce.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/core/api-client.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/core/endpoint-builder.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/delivery.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/dev/diagnostics.client.ts	REUSE	TYPED_READ_ONLY_DEVELOPER_DIAGNOSTICS_CLIENT
frontend/src/api/dev/diagnostics.client.test.ts	REUSE	DEVELOPER_DIAGNOSTICS_TRANSPORT_CONTRACT_EVIDENCE
frontend/src/api/dev/index.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/dev/safe-preflight-reports.client.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/graphqlClient.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/guard/contract-guard.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/import-metadata.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/index.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/me.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/navigation.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/prompt.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/publish.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/query-keys.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/render-incremental.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/render-jobs.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/safeApiCall.ts	REUSE	CONTRACT_FIRST_DATA_FOUNDATION
frontend/src/api/timelineRevision.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/timelineSync.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
frontend/src/api/workspace.ts	MIGRATE	HANDWRITTEN_OR_LEGACY_CLIENT_TO_PLATFORM_CLIENT
