CURRENT_PATH	CURRENT_PACKAGE	TYPE	KIND	CLASSIFICATION	FINAL_MODULE	FINAL_PACKAGE	DISPOSITION	CALLER_FILES
render-module/src/main/java/com/example/platform/render/app/plan/OperationPlanApplyService.java	com.example.platform.render.app.plan.OperationPlanApplyService	OperationPlanApplyService	class	OPERATION_APPLICATION	operation-module	com.example.platform.operation.app	MOVE	2
render-module/src/main/java/com/example/platform/render/app/planner/CapabilityResolutionService.java	com.example.platform.render.app.planner.CapabilityResolutionService	CapabilityResolutionService	class	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	2
render-module/src/main/java/com/example/platform/render/app/planner/ExecutionPlannerService.java	com.example.platform.render.app.planner.ExecutionPlannerService	ExecutionPlannerService	class	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	1
render-module/src/main/java/com/example/platform/render/app/planner/FinalComposerSelector.java	com.example.platform.render.app.planner.FinalComposerSelector	FinalComposerSelector	class	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	15
render-module/src/main/java/com/example/platform/render/app/planner/IncrementalPipelineSupport.java	com.example.platform.render.app.planner.IncrementalPipelineSupport	IncrementalPipelineSupport	class	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	3
render-module/src/main/java/com/example/platform/render/app/planner/PipelineDagExecutorService.java	com.example.platform.render.app.planner.PipelineDagExecutorService	PipelineDagExecutorService	class	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	4
render-module/src/main/java/com/example/platform/render/app/planner/PipelineDagTopology.java	com.example.platform.render.app.planner.PipelineDagTopology	PipelineDagTopology	class	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	3
render-module/src/main/java/com/example/platform/render/app/planner/PipelineExecutionPlan.java	com.example.platform.render.app.planner.PipelineExecutionPlan	PipelineExecutionPlan	record	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	24
render-module/src/main/java/com/example/platform/render/app/planner/PipelinePlanPersistenceService.java	com.example.platform.render.app.planner.PipelinePlanPersistenceService	PipelinePlanPersistenceService	class	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	11
render-module/src/main/java/com/example/platform/render/app/planner/PipelineTask.java	com.example.platform.render.app.planner.PipelineTask	PipelineTask	record	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	16
render-module/src/main/java/com/example/platform/render/app/planner/PipelineTaskType.java	com.example.platform.render.app.planner.PipelineTaskType	PipelineTaskType	enum	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	17
render-module/src/main/java/com/example/platform/render/app/planner/RenderPlanBridgeService.java	com.example.platform.render.app.planner.RenderPlanBridgeService	RenderPlanBridgeService	class	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	1
render-module/src/main/java/com/example/platform/render/app/planner/RenderPlannerService.java	com.example.platform.render.app.planner.RenderPlannerService	RenderPlannerService	class	RENDER_PLANNING	render-module	com.example.platform.render.domain.planner	RENAME	17
render-module/src/main/java/com/example/platform/render/app/planner/package-info.java	com.example.platform.render.app.planner.package-info	?	?	PACKAGE_INFO	render-module	com.example.platform.render.domain.package-info	RENAME	0
render-module/src/main/java/com/example/platform/render/domain/operation/OperationBatch.java	com.example.platform.render.domain.operation.OperationBatch	OperationBatch	record	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	2
render-module/src/main/java/com/example/platform/render/domain/operation/OperationDefinition.java	com.example.platform.render.domain.operation.OperationDefinition	OperationDefinition	record	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	8
render-module/src/main/java/com/example/platform/render/domain/operation/OperationDefinitionId.java	com.example.platform.render.domain.operation.OperationDefinitionId	OperationDefinitionId	record	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	8
render-module/src/main/java/com/example/platform/render/domain/operation/OperationErrorCode.java	com.example.platform.render.domain.operation.OperationErrorCode	OperationErrorCode	enum	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	5
render-module/src/main/java/com/example/platform/render/domain/operation/OperationInstance.java	com.example.platform.render.domain.operation.OperationInstance	OperationInstance	record	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	8
render-module/src/main/java/com/example/platform/render/domain/operation/OperationParameters.java	com.example.platform.render.domain.operation.OperationParameters	OperationParameters	interface	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	12
render-module/src/main/java/com/example/platform/render/domain/operation/OperationRequest.java	com.example.platform.render.domain.operation.OperationRequest	OperationRequest	record	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	7
render-module/src/main/java/com/example/platform/render/domain/operation/OperationRequestResolver.java	com.example.platform.render.domain.operation.OperationRequestResolver	OperationRequestResolver	class	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	2
render-module/src/main/java/com/example/platform/render/domain/operation/OperationResolutionException.java	com.example.platform.render.domain.operation.OperationResolutionException	OperationResolutionException	class	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	3
render-module/src/main/java/com/example/platform/render/domain/operation/OperationTarget.java	com.example.platform.render.domain.operation.OperationTarget	OperationTarget	interface	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	7
render-module/src/main/java/com/example/platform/render/domain/operation/OperationTargetRequest.java	com.example.platform.render.domain.operation.OperationTargetRequest	OperationTargetRequest	interface	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	5
render-module/src/main/java/com/example/platform/render/domain/operation/ParameterDigest.java	com.example.platform.render.domain.operation.ParameterDigest	ParameterDigest	class	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	4
render-module/src/main/java/com/example/platform/render/domain/operation/TextOperationPlanner.java	com.example.platform.render.domain.operation.TextOperationPlanner	TextOperationPlanner	class	OPERATION_CANONICAL	operation-module	com.example.platform.operation.operation	MOVE	2
render-module/src/main/java/com/example/platform/render/domain/plan/ApplyContext.java	com.example.platform.render.domain.plan.ApplyContext	ApplyContext	record	OPERATION_APPLICATION	operation-module	com.example.platform.operation.plan	MOVE	3
